Order	Level	Code	Title	Pattern	Family	Enabled	Notes
1	1	AD 0.6	Table of Contents to Part 3	AD 0.6*.pdf	AD 0 — Preface	TRUE	
2	1	AD 1.1	Aerodromes/Heliport Availability	AD 1.1*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
3	2	AD 1.1.1	General Conditions Under Which Aerodromes/Heliports and Associated Facilities are Available for Use	AD 1.1.1*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
4	2	AD 1.1.2	Applicable ICAO Documents	AD 1.1.2*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
5	2	AD 1.1.3	Civil Use of Military Aerodromes/Heliports	AD 1.1.3*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
6	2	AD 1.1.4	Aerodrome Operating Minima	AD 1.1.4*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
7	2	AD 1.1.5	Low Visibility Procedures (LVP)	AD 1.1.5*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
8	2	AD 1.1.6	Determination of Aerodrome Traffic Zone (ATZ) and Aerodrome Traffic Pattern Altitude in Tehran FIR	AD 1.1.6*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
9	1	AD 1.2	Rescue and Firefighting Services and Snow Plan	AD 1.2*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
10	2	AD 1.2.1	Rescue and Firefighting Services	AD 1.2.1*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
11	2	AD 1.2.2	Snow Plan	AD 1.2.2*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
12	1	AD 1.3	Index to Aerodromes and Heliports	AD 1.3*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
13	1	AD 1.4	Grouping of Aerodromes/Heliports	AD 1.4*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
14	1	AD 1.5	Status of Certification of Aerodromes	AD 1.5*.pdf	AD 1 — Aerodrome/Heliport Introduction	TRUE	
