Code	Name	Type	Enabled	Notes
OIAA	Abadan	Aerodrome	TRUE		
OIAD	Dezful	Aerodrome	TRUE		
OIAG	Aghajari	Aerodrome	TRUE		
OIAH	Gachsaran	Aerodrome	TRUE		
OIAJ	Omidiyeh	Aerodrome	TRUE		
OIAM	Bandar Mahshahr / Mahshahr	Aerodrome	TRUE		
OIAI	Masjed Soleiman / Shahid Asyaee	Aerodrome	TRUE		
OIAW	Ahwaz	Aerodrome	TRUE		
OIBA	Abumusa Island	Aerodrome	TRUE		
OIBB	Bushehr	Aerodrome	TRUE		
OIBH	Bahregan	Aerodrome	TRUE		
OIBJ	Jam	Aerodrome	TRUE		
OIBK	Kish Island / Kish	Aerodrome	TRUE
OIBL	Bandar Lengeh	Aerodrome	TRUE
OIBP	Pars Special Energy Economy Zone (PSEEZ) / Persian Gulf (Khalij-e-Fars)	Aerodrome	TRUE	
OIBQ	Khark Island / Khark	Aerodrome	TRUE
OIBS	Sirri Island	Aerodrome	TRUE
OIBV	Lavan Island / Lavan	Aerodrome	TRUE
OIBX	Tunb-e- Bozorg Island/ TUNB-E- BOZORG	Aerodrome	TRUE
OICC	Kermanshah / Shahid Ashrafi Esfahani	Aerodrome	TRUE	
OICI	Ilam	Aerodrome	TRUE	
OICK	Khoram Abad	Aerodrome	TRUE	
OICS	Sanandaj	Aerodrome	TRUE	
OIFE	Esfahan / HESA	Aerodrome	TRUE	
OIFH	Esfahan / Shahid Vatan Pour AIR BASE	Aerodrome	TRUE	
OIFK	Kashan	Aerodrome	TRUE	
OIFM	Esfahan / Shahid Beheshti	Aerodrome	TRUE	
OIFP	Esfahan / Badr Air Base	Aerodrome	TRUE	
OIFS	Shahre Kord	Aerodrome	TRUE	
OIGG	Rasht / Sardar Jangal	Aerodrome	TRUE	
OIHH	Hamadan	Aerodrome	TRUE	
OIHR	Aeak	Aerodrome	TRUE	
OIHS	Hamadan / Nogeh	Aerodrome	TRUE	
OIIB	Eyvanakei / Boland Parvaz	Aerodrome	TRUE	
OIID	Tehran / Doshan Tappeh	Aerodrome	TRUE	
OIIE	Tehran / Imam Khomeini	Aerodrome	TRUE	
OIIF	Karaj / Fath	Aerodrome	TRUE	
OIII	Tehran / Mehrabad	Aerodrome	TRUE	
OIIK	Ghazvin	Aerodrome	TRUE	
OIIM	Karaj / Naja	Aerodrome	TRUE	
OIIP	Karaj / Payam	Aerodrome	TRUE	
OIIS	Semnan	Aerodrome	TRUE	
OIKB	Bandar Abbas	Aerodrome	TRUE
OIKJ	Jiroft	Aerodrome	TRUE	
OIKK	Kerman	Aerodrome	TRUE	
OIKM	Bam	Aerodrome	TRUE	
OIKP	Bandar Abbas / HavaDarya	Aerodrome	TRUE	
OIKQ	Gheshm Island / Gheshm	Aerodrome	TRUE	
OIKR	Rafsanjan	Aerodrome	TRUE	
OIKY	Sirjan	Aerodrome	TRUE	
OIMB	Birjand	Aerodrome	TRUE	
OIMC	Sarakhs	Aerodrome	TRUE	
OIMG	Mashhad / Golbahar	Aerodrome	TRUE	
OIMJ	Shahroud	Aerodrome	TRUE	
OIMM	Mashhad	Aerodrome	TRUE	
OIMN	Bojnord	Aerodrome	TRUE	
OIMQ	Kashmar	Aerodrome	TRUE	
OIMS	Sabzevar	Aerodrome	TRUE	
OIMT	Tabas	Aerodrome	TRUE	
OINE	Kalaleh	Aerodrome	TRUE	
OING	Gorgan	Aerodrome	TRUE	
OINJ	Bishe Kola	Aerodrome	TRUE	
OINN	Nowshahr	Aerodrome	TRUE	
OINR	Ramsar	Aerodrome	TRUE	
OINZ	Sari / Dasht-e Naz	Aerodrome	TRUE	
OISF	Fasa	Aerodrome	TRUE	
OISJ	Jahrom	Aerodrome	TRUE	
OISL	Lar	Aerodrome	TRUE	
OISO	Zarghan	Aerodrome	TRUE	
OISR	Lamerd	Aerodrome	TRUE	
OISS	Shiraz / Shahid Dastgheib	Aerodrome	TRUE	
OISY	Yasouj	Aerodrome	TRUE	
OITK	Khoy	Aerodrome	TRUE	
OITL	Ardabil	Aerodrome	TRUE	
OITM	Sahand	Aerodrome	TRUE	
OITP	Parsabade Moghan	Aerodrome	TRUE	
OITR	Urmia	Aerodrome	TRUE	
OITT	Tabriz	Aerodrome	TRUE	
OITU	Maku	Aerodrome	TRUE	
OITZ	Zanjan	Aerodrome	TRUE	
OIYP	Yazd / Pardis Yazd	Aerodrome	TRUE	
OIYR	Mehriz / Imam Reza	Aerodrome	TRUE	
OIYY	Yazd / Shahid Ayatollah Sadoughi	Aerodrome	TRUE	
OIZB	Zabol	Aerodrome	TRUE	
OIZC	Chah Bahar - Konarak	Aerodrome	TRUE	
OIZH	Zahedan	Aerodrome	TRUE	
OIZI	Iranshahr	Aerodrome	TRUE	
OIZS	Saravan	Aerodrome	TRUE	
OIIO	Tehran / Panha	Heliport	TRUE
