Order	Level	Code	Title	Pattern	Family	Enabled	Notes
1	1	ENR 0.6	Table of Contents to Part 2	ENR 0.6*.pdf	ENR 0 — Introduction	TRUE	
2	1	ENR 1.1	General Rules	ENR 1.1*.pdf	ENR 1 — General rules & procedures	TRUE	
3	1	ENR 1.2	Visual Flight Rules	ENR 1.2*.pdf	ENR 1 — General rules & procedures	TRUE	
4	1	ENR 1.3	Instrument Flight Rules	ENR 1.3*.pdf	ENR 1 — General rules & procedures	TRUE	
5	1	ENR 1.4	ATS Airspace Classification	ENR 1.4*.pdf	ENR 1 — General rules & procedures	TRUE	
6	1	ENR 1.5	Holding, Approach and Departure Procedures	ENR 1.5*.pdf	ENR 1 — General rules & procedures	TRUE	
7	1	ENR 1.6	ATC Surveillance Services and Procedures	ENR 1.6*.pdf	ENR 1 — General rules & procedures	TRUE	
8	1	ENR 1.7	Altimeter Setting Procedures	ENR 1.7*.pdf	ENR 1 — General rules & procedures	TRUE	
9	1	ENR 1.8	Regional Supplementary Procedures	ENR 1.8*.pdf	ENR 1 — General rules & procedures	TRUE	
10	1	ENR 1.9	Air Traffic Flow Management (ATFM)	ENR 1.9*.pdf	ENR 1 — General rules & procedures	TRUE	
11	1	ENR 1.10	Flight Planning	ENR 1.10*.pdf	ENR 1 — General rules & procedures	TRUE	
12	1	ENR 1.11	Addressing of Flight Plan Messages	ENR 1.11*.pdf	ENR 1 — General rules & procedures	TRUE	
13	1	ENR 1.12	Interception of Civil Aircraft	ENR 1.12*.pdf	ENR 1 — General rules & procedures	TRUE	
14	1	ENR 1.13	Unlawful Interference	ENR 1.13*.pdf	ENR 1 — General rules & procedures	TRUE	
15	1	ENR 1.14	Air Traffic Incidents	ENR 1.14*.pdf	ENR 1 — General rules & procedures	TRUE	
16	1	ENR 2.1	FIR, UIR, TMA	ENR 2.1*.pdf	ENR 2 — ATS airspace	TRUE	
17	1	ENR 3.1	ATS routes	ENR 3.1*.pdf	ENR 3 — ATS routes	TRUE	
18	1	ENR 3.3	RNAV routes	ENR 3.3*.pdf	ENR 3 — ATS routes	TRUE	
19	1	ENR 3.5	Other routes	ENR 3.5*.pdf	ENR 3 — ATS routes	TRUE	
20	1	ENR 3.6	En-route holding	ENR 3.6*.pdf	ENR 3 — ATS routes	TRUE	
21	1	ENR 4.1	Navaids — en-route	ENR 4.1*.pdf	ENR 4 — Navaids & points	TRUE	
22	1	ENR 4.4	Name-code designators	ENR 4.4*.pdf	ENR 4 — Navaids & points	TRUE	
23	1	ENR 5.1	Prohibited, Restricted, Danger, Caution	ENR 5.1*.pdf	ENR 5 — Navigation warnings	TRUE	
24	2	ENR 5.1.1	Prohibited areas	ENR 5.1.1*.pdf	ENR 5 — Navigation warnings	TRUE	
25	2	ENR 5.1.2	Restricted areas	ENR 5.1.2*.pdf	ENR 5 — Navigation warnings	TRUE	
26	2	ENR 5.1.3	Danger areas	ENR 5.1.3*.pdf	ENR 5 — Navigation warnings	TRUE	
27	2	ENR 5.1.4	Caution areas	ENR 5.1.4*.pdf	ENR 5 — Navigation warnings	TRUE	
28	1	ENR 5.5	Aerial sporting & recreational	ENR 5.5*.pdf	ENR 5 — Navigation warnings	TRUE	
29	1	ENR 6.1	En-Route Chart	ENR 6.1*.pdf	ENR 6 — En-route charts	TRUE	
