Order	Level	Code	Title	Pattern	Family	Enabled	Notes
1	1	GEN 0.1	Preface	GEN 0.1*.pdf	GEN 0 — Introduction	TRUE	
2	1	GEN 0.2	Record of AIP Amendment	GEN 0.2*.pdf	GEN 0 — Introduction	TRUE	
3	1	GEN 0.3	Record of AIP Supplements	GEN 0.3*.pdf	GEN 0 — Introduction	TRUE	
4	1	GEN 0.4	Checklist of AIP Pages	GEN 0.4*.pdf	GEN 0 — Introduction	TRUE	
5	1	GEN 0.5	List of Hand Amendments to the AIP	GEN 0.5*.pdf	GEN 0 — Introduction	TRUE	
6	1	GEN 0.6	Table of Contents to Part 1	GEN 0.6*.pdf	GEN 0 — Introduction	TRUE	
7	1	GEN 1.1	Designated authorities	GEN 1.1*.pdf	GEN 1 — National regulations & requirements	TRUE	
8	1	GEN 1.2	Entry, Transit and Departure of Aircraft	GEN 1.2*.pdf	GEN 1 — National regulations & requirements	TRUE	
9	1	GEN 1.3	Entry, Transit and Departure of Passengers and Crew	GEN 1.3*.pdf	GEN 1 — National regulations & requirements	TRUE	
10	1	GEN 1.4	Entry, Transit and Departure of Cargo	GEN 1.4*.pdf	GEN 1 — National regulations & requirements	TRUE	
11	1	GEN 1.7	Differences from ICAO Standards, Recommended Practices and Procedures	GEN 1.7*.pdf	GEN 1 — National regulations & requirements	TRUE	
12	1	GEN 2.1	Measuring System, Aircraft Markings, Holidays	GEN 2.1*.pdf	GEN 2 — Tables and codes	TRUE	
13	1	GEN 2.2	Abbreviations Used in AIS Publications	GEN 2.2*.pdf	GEN 2 — Tables and codes	TRUE	
14	1	GEN 2.3	Chart Symbols	GEN 2.3*.pdf	GEN 2 — Tables and codes	TRUE	
15	1	GEN 2.4	Location Indicators	GEN 2.4*.pdf	GEN 2 — Tables and codes	TRUE	
16	1	GEN 2.5	List of Radio Navigation Aids	GEN 2.5*.pdf	GEN 2 — Tables and codes	TRUE	
17	1	GEN 2.6	Conversion Tables	GEN 2.6*.pdf	GEN 2 — Tables and codes	TRUE	
18	1	GEN 2.7	Sunrise/Sunset Tables	GEN 2.7*.pdf	GEN 2 — Tables and codes	TRUE	
19	1	GEN 3.1	Aeronautical Information Services	GEN 3.1*.pdf	GEN 3 — Services	TRUE	
20	1	GEN 3.2	Aeronautical Charts	GEN 3.2*.pdf	GEN 3 — Services	TRUE	
21	1	GEN 3.3	Air Traffic Services	GEN 3.3*.pdf	GEN 3 — Services	TRUE	
22	1	GEN 3.4	Communication Services	GEN 3.4*.pdf	GEN 3 — Services	TRUE	
23	1	GEN 3.5	Meteorological Services	GEN 3.5*.pdf	GEN 3 — Services	TRUE	
24	1	GEN 3.6	Search and Rescue	GEN 3.6*.pdf	GEN 3 — Services	TRUE	
25	1	GEN 4.1	Aerodrome/Heliport Charges	GEN 4.1*.pdf	GEN 4 — Charges for aerodromes & ANS	TRUE	
26	1	GEN 4.2	Air Navigation Services Charges	GEN 4.2*.pdf	GEN 4 — Charges for aerodromes & ANS	TRUE	
